c SAT instance in DIMACS CNF input format.
p cnf 60 360
-14 -24 -51 0
13 38 47 0
-3 -5 -57 0
17 -26 -31 0
-6 27 54 0
-14 50 57 0
9 24 -46 0
19 40 -50 0
42 -44 -58 0
1 18 -58 0
3 4 47 0
-9 46 55 0
32 44 -60 0
47 -51 -56 0
-20 -36 59 0
-38 -49 60 0
-10 -24 30 0
14 -37 47 0
-6 18 -29 0
39 -49 53 0
6 -20 26 0
-23 49 58 0
-5 -28 57 0
11 24 52 0
-19 -20 30 0
-22 -28 -60 0
12 23 42 0
12 -30 39 0
22 -30 -50 0
11 15 -59 0
-2 51 -59 0
23 -37 -42 0
-2 -25 -43 0
-4 24 46 0
22 -40 -59 0
11 -33 -44 0
-12 -54 58 0
-5 -15 -47 0
24 42 30 14 8 37 0 38 4 28 4 22 8 48 33 34 6 4 37 41 22 40 21 2 28 35 5 2 34 13 48 23 8 19 21 11 45 23 8 7 20 13 3 32 10 23 44 41 43 2 6 26 33 32 9 39 34 2 34 47 
